key,kr,en,jp,zh-sc-gl,zh-sc-zai,th,id,ru,it,pt,es,vi,zh-hant,fr,tr
ZW_Bulgari_STR_Quest_Desc_1-1,불가리 로고 앞에서 멋진 포즈로 사진을 찍어봐요!,Strike a cool pose and take a photo in front of the BULGARI logo!,ブルガリのロゴの前で思い出に残るステキな記念写真を撮っちゃお！,在宝格丽Logo前摆个好看的姿势拍照吧！,在宝格丽Logo前摆个好看的姿势拍照吧！,โพสท่าถ่ายรูปคูลๆ หน้าโลโก้ BULGARI!,Berpose dengan keren dan ambil foto di depan logo BULGARI!,Примите крутую позу и сфотографируйтесь на фоне логотипа BULGARI!,Mettiti in posa e scatta una foto davanti al logo BULGARI!,Faça uma pose legal e tire uma foto em frente ao logotipo da BULGARI!,¡Usa tu mejor pose delante del logo de BULGARI y hazte una foto!,Tạo dáng thật ngầu và chụp ảnh trước logo BULGARI!,在寶格麗標誌前擺POSE拍張照！,Tapez la pose et prenez une photo devant le logo BULGARI !,Havalı bir poz ver ve BULGARI logosunun önünde bir fotoğraf çekin!
ZW_Bulgari_STR_Quest_Desc_1-2,창가에서 제주 바다를 배경으로 사진을 찍어봐요!,Take a photo by the window with the Jeju sea in the background!,窓際で海が見えるように写真をカシャ！,在窗边以济州大海为背景拍照吧！,在窗边以济州大海为背景拍照吧！,ถ่ายรูปด้านหน้าหน้าต่างโดยมีพื้นหลังเป็นทะเลเชจู!,Ambil foto di samping jendela dengan latar belakang laut Jeju!,Сделайте фото у окна на фоне моря!,Scatta una foto vicino alla finestra con il mare dell’Isola di Jeju sullo sfondo!,Tire uma foto perto da janela com o mar de Jeju ao fundo!,¡Hazte una foto junto a la ventana con el mar de Jeju de fondo!,Chụp ảnh với khung cảnh biển Jeju bên cửa sổ!,在窗邊背對濟州大海拍照！,Prenez une photo par la fenêtre avec la mer de Jeju en arrière-plan !,Arka planda Jeju Denizi ile pencere kenarından bir fotoğraf çekin!
ZW_Bulgari_STR_Quest_Title_2,제주 바다 구경하기,View Jeju sea,海を見に行く,欣赏济州大海,欣赏济州大海,ชมวิวทะเลเชจู,Lihat Laut Jeju,Вид на море у острова Чеджу,Vista del mare dell’Isola di Jeju,Veja o mar de Jeju,Vista del mar de Jeju,Thăm Biển Jeju,去濟州看海,Vue sur la mer de Jeju,Jeju Denizi'ne Bak
ZW_Bulgari_STR_Quest_Desc_2,창가에서 푸른 바다를 구경해봐요.,View the blue sea from the window.,みてみて！あお〜い海を見ながら休憩タイム〜,在窗边看看蓝蓝的大海吧,在窗边看看蓝蓝的大海吧,ชมทะเลสีครามจากหน้าต่าง,Lihat laut biru melalui jendela,Посмотрите на голубое море из окна.,Dalla finestra potrai vedere un’immensa distesa salata blu.,Veja o mar azul pela janela.,Mira el mar azul desde la ventana.,Ngắm biển xanh từ cửa sổ,在窗邊欣賞蔚藍大海！,Vue sur la mer bleue depuis la fenêtre.,Pencereden mavi denize bak.
ZW_Bulgari_STR_Quest_Title_3,오후의 카페인 충전,Afternoon caffeine boost,コーヒーも飲んじゃう？,午后补充咖啡因,午后补充咖啡因,เติมคาเฟอีนยามบ่าย,Isi Ulang Kafein di Sore Hari,Кофеиновая подзарядка после обеда,Ricarica di caffeina pomeridiana,Recarga de Cafeína da Tarde,Recarga de cafeína en el atardecer,Nạp Caffeine vào Buổi Chiều,下午補充咖啡因,Recharge en caféine dans l'après-midi,Öğleden Sonra Kafein Yenilemesi
ZW_Bulgari_STR_Quest_Desc_3,카페에 앉아 커피 한 잔의 여유를 즐겨봐요.,Enjoy a relaxing cup of coffee at the cafe.,カフェでゆったりコーヒータイムを満喫しよう！,在咖啡厅悠闲地品尝一杯咖啡吧,在咖啡厅悠闲地品尝一杯咖啡吧,นั่งชิลล์จิบกาแฟในคาเฟ่,Nikmati secangkir kopi yang membuat rileks di kafe.,Возьмите чашку расслабляющего кофе в кафе.,Rilassati gustandoti un’ottima tazza di caffè presso il bar.,Aproveite um cafézinho relaxante no café.,Tómate una taza de café en la cafetería.,Thưởng thức một tách cà phê thư giãn tại quán cà phê.,坐在咖啡廳，享受休閒時光！,Dégustez une tasse de café relaxante au café.,Kafede bir fincan rahatlatıcı kahvenin tadını çıkar.
ZW_Bulgari_STR_Quest_Title_4,불가리 리조트 컬렉션 구경하기,View BULGARI Resort Collection,ブルガリ リゾートコレクションをチェックする,看看宝格丽RESORT系列,看看宝格丽RESORT系列,ชมคอลเลกชันรีสอร์ต BULGARI,Lihat Koleksi Resor BULGARI,Изучение курортной коллекции BULGARI,Scopri la nuova collezione Resort BULGARI,Veja a coleção Resort BULGARI,Descubre la colección Complejo BULGARI,Xem Bộ Sưu Tập Khu Nghỉ Mát BULGARI,了解寶格麗Resort系列,Essayez les nouveaux articles BULGARI,Yeni BULGARI Ürünlerini Dene
ZW_Bulgari_STR_Quest_Desc_4,불가리 팝업 스토어에서 아이템을 착용해봐요.,Try items from the BULGARI pop-up store.,ブルガリのポップアップストアでアイテムを試着してみよう！,在宝格丽快闪店试用商品吧,在宝格丽快闪店试用商品吧,สวมใส่ไอเทมในป๊อปอัปสโตร์ BULGARI,Kenakan item dari toko pop up BULGARI.,"Наденьте предметы, купленные во временном магазине BULGARI.",Prova tutti i nuovi articoli del pop-up store di BULGARI.,Equipe os itens da lojinha da BULGARI.,Ponte artículos de la tienda efímera de BULGARI.,Thử các sản phẩm từ cửa hàng pop up của BULGARI.,前往寶格麗快閃店穿戴看看。,Venez essayer les nouveaux articles du pop up store de BULGARI.,BULGARI gezici mağazasındaki yeni ürünleri dene.
ZW_Bulgari_STR_Quest_Title_5,꽃향기에 취해보기,Enjoy floral scents,花からどんな香りがするんだろう？,享受花香,享受花香,ดื่มด่ำกลิ่นดอกไม้,Nikmati Aroma Bunga,Наслаждение ароматом цветов,Goditi il profumo dei fiori,Aprecie o aroma das flores,Disfruta del aroma de las flores,Tận Hưởng Hương Hoa,陶醉在花香中,Appréciez le parfum des fleurs,Çiçek Kokusunun Tadını Çıkar
ZW_Bulgari_STR_Quest_Desc_5,화려한 불가리 정원에서 꽃향기를 맡아봐요.,Smell the flowers in the beautiful BULGARI Garden.,華やかなブルガリ庭園で花の香りをクンクン...！,在精美的宝格丽庭院闻一闻花香吧,在精美的宝格丽庭院闻一闻花香吧,ลองดมดอกไม้ในสวน BULGARI สุดอลังการ,Cium bunga di Taman BULGARI yang indah.,Наслаждайтесь ароматом цветов в прекрасном саду BULGARI.,Immergiti nel profumo dei fiori nel bellissimo giardino BULGARI.,Cheire as flores no lindo Jardim BULGARI.,Huele las flores del hermoso jardín BULGARI.,Ngửi các đóa hoa trong Khu Vườn BULGARI xinh đẹp.,在華麗的寶格麗庭院聞聞看花香。,Sentez les fleurs dans le beau jardin.,Harika bahçedeki çiçekleri kokla.
ZW_Bulgari_STR_Quest_Title_6,나비 잡기,Catch butterflies,蝶々を捕まえる,抓蝴蝶,抓蝴蝶,จับผีเสื้อ,Tangkap Kupu-kupu,Ловля бабочек,Cattura le farfalle,Capture as borboletas,Atrapa mariposas,Bắt Bướm,抓蝴蝶,Attrapez les papillons bijoux,Mücevherli Kelebekleri Yakala
ZW_Bulgari_STR_Quest_Desc_6-1,정원에 있는 잠자리채를 찾아 손에 쥐어요.,Grab the bug net in the garden.,庭園にある虫取り網を見つけよう！,在庭院找到捕虫网拿在手里,在庭院找到捕虫网拿在手里,เก็บสวิงจับแมลงในสวนมาถือไว้,Ambil jaring serangga di taman.,Возьмите сачок в саду.,Afferra il retino nel giardino.,Pegue a rede de insetos no jardim.,Recoge la red en el jardín.,Nhặt vợt bắt côn trùng trong vườn.,尋找庭院裡的捕蟲網。,Prenez le filet à insectes dans le jardin.,Bahçedeki böcek ağını al.
ZW_Bulgari_STR_Quest_Desc_6-2,잠자리채를 휘둘러 나비를 잡아봐요.,Swing the bug net to catch butterflies.,虫取り網を振り回して、蝶々を捕まえよう！,挥动捕虫网抓蝴蝶,挥动捕虫网抓蝴蝶,โบกสวิงจับแมลงเพื่อจับผีเสื้อ,Ayunkan jaring serangga untuk menangkap kupu-kupu.,"Махайте сачком, чтобы ловить бабочек.",Usa il retino per catturare le farfalleo.,Use a rede de insetos para capturar borboletas.,Atrapa mariposas con la red.,Vung vợt bắt côn trùng để bắt bướm.,揮動捕蟲網，抓抓看蝴蝶！,Faites pivoter le filet à insectes pour attraper des papillons bijoux.,Mücevherli kelebekleri yakalamak için böcek ağını salla.
ZW_Bulgari_STR_Quest_Desc_6-3,공작새에게 잡은 나비를 주면<br>특별한 선물과 교환할 수 있어요!,Give the butterflies to the peacock to exchange for special gifts!,クジャクに蝶々を渡すと<br>スペシャルプレゼントと交換できるんだって！,把抓到的蝴蝶给孔雀<br>可以兑换特别礼物！,把抓到的蝴蝶给孔雀<br>可以兑换特别礼物！,สามารถนำผีเสื้อที่จับได้ไปให้นกยูง<br>เพื่อแลกกับของขวัญสุดพิเศษได้!,Berikan kupu-kupu pada merak<br>Untuk menukarnya dengan hadiah spesial!.,Отнесите бабочек павлину в обмен на особые подарки!,Dona le farfalle catturate al pavone<br>per ricevere alcuni regali speciali!,Dê as borboletas ao pavão<br>para trocar por presentes especiais!,"Para cambiarlas por regalos especiales,<br>dale las mariposas al pavo real.",Tặng bướm cho chim công<br>Để nhận cánh bướm.,如果把抓到的蝴蝶拿給孔雀<br> 就能交換特別的禮物！,Donnez les papillons en forme de bijou au paon<br> Pour les échanger contre des cadeaux spéciaux !,Mücevherli kelebekleri tavus kelebeğine ver<br> Böylece özel ödüllerle takas edebilirsin!
ZW_Bulgari_STR_Tooltip_Msg_1,오늘 잡은 나비 :,Butterflies caught today :,今日捕まえた蝶々の数:,今天抓到的蝴蝶：,今天抓到的蝴蝶：,ผีเสื้อที่จับได้วันนี้ :,Tangkapan kupu-kupu hari ini:,Бабочек поймано сегодня:,Farfalle catturate oggi: ,Borboletas capturadas hoje:,Mariposas capturadas hoy:,Số bướm bắt được hôm nay :,今日捕獲的蝴蝶：,Papillons capturés aujourd'hui :,Bugün yakalanan kelebekler:
ZW_Bulgari_STR_Dialog_NPC_1,정원의 잠자리채로<br>나비를 잡아봐,Catch butterflies<br>with the bug net from the garden,庭園にある虫取り網で<br>蝶々を捕まえてね！,用庭院中的捕虫网<br>抓住蝴蝶吧,用庭院中的捕虫网<br>抓住蝴蝶吧,ลองจับผีเสื้อ<br>ด้วยสวิงจับแมลงในสวนดูสิ,Tangkap kupu-kupu<br>dengan jaring serangga dari taman,Ловите бабочек<br>с помощью сачка из сада.,Cattura le farfalle<br>con il retino del giardino,Capture borboletas<br>com a rede de insetos do jardim,Atrapa mariposas<br>con la red del jardín,Bắt bướm<br> với vợt bắt côn trùng trong vườn,用花園裡的捕蟲網<br>抓蝴蝶吧,Attrape les papillons <br>avec le filet à insectes du jardin.,Bahçedeki böcek ağıyla<br>kelebekleri yakala
ZW_Bulgari_STR_Dialog_NPC_2,나비를 잡아오면<br>나비 날개를 줄게,If you bring me butterflies<br>I'll give you butterfly wings in return.,蝶々を捕まえてきてくれたら<br>蝶々の羽をあげる〜,抓到蝴蝶的话<br>可以给你蝴蝶翅膀,抓到蝴蝶的话<br>可以给你蝴蝶翅膀,ถ้าจับผีเสื้อกลับมาได้<br>ก็เอาปีกผีเสื้อไปเลย,Jika kamu membawakanku kupu-kupu<br>Aku akan memberimu sayap kupu-kupu sebagai gantinya.,Принесите мне бабочек<br>и взамен получите их крылья.,Se mi porterai le farfalle<br>ti donerò le ali di farfalla in cambio.,"Se trouxer borboletas,<br>darei asas de borboleta em troca.","Si me traes mariposas,<br>a cambio te daré alas de mariposa.",Nếu bạn đem bướm đến<br>tôi sẽ đổi cho bạn cánh bướm.,只要抓到蝴蝶<br>就能獲得蝴蝶翅膀,"Si tu m'apportes des papillons, <br>je te donnerai des ailes de papillon en retour.",Bana kelebek getirirsen<br>karşılığında sana kelebek kanatları veririm.
ZW_Bulgari_STR_Dialog_NPC_3,나비는 하루에<br>50마리만<br>잡을 수 있어,You can only catch<br>50 butterflies<br>daily,蝶々は1日に<br> 50匹まで<br> 捕まえれるよ！,每天最多<br>可以抓到<br>50只蝴蝶,每天最多<br>可以抓到<br>50只蝴蝶,จับผีเสื้อได้<br>แค่ 50 ตัว<br>ต่อวันนะ,Kamu hanya bisa menangkap<br>50 kupu-kupu<br>per hari,Каждый день можно поймать<br>не более<br>50 бабочек,Puoi catturare un massimo di<br>50 farfalle al giorno,Só é possível capturar<br>50 borboletas<br>por dia,Solo puedes atrapar<br>50 mariposas por día,Bạn chỉ có thể bắt<br>50 con bướm<br>mỗi ngày,一天只能抓<br>50隻<br>蝴蝶,Tu ne peux attraper que <br>50 papillons par jour.,Günlük sadece<br>50 kelebek<br>yakalayabilirsin
ZW_Bulgari_STR_UI_Msg_1,나비를 교환할까요?,Exchange butterflies?,蝶々と交換する？,确定要兑换蝴蝶吗？,确定要兑换蝴蝶吗？,ต้องการแลกผีเสื้อใช่หรือไม่?,Tukarkan kupu-kupu?,Обменять бабочек?,Vuoi scambiare le farfalle?,Trocar borboletas?,¿Quieres intercambiar las mariposas?,Trao đổi bướm?,要交換蝴蝶嗎？,Echanger des papillons ?,Kelebekler takas edilsin mi?
ZW_Bulgari_STR_UI_Msg_2,아이템을 획득했습니다.<br>선물함을 확인해 보세요!,You received the item.<br>Check your Gift Box!,アイテムを獲得したよ！<br>プレゼントBOXをチェックしてね！,获得了商品<br>去查看礼物盒吧！,获得了商品<br>去查看礼物盒吧！,ได้รับไอเทม ลองดูในกล่องของขวัญสิ!,Anda mendapatkan item.<br>Cek Kotak Hadiah Anda!,Вы получили предмет.<br>Загляните в Подарочную коробку!,Hai ricevuto l'oggetto.<br>Controlla la tua Box Regali!,Recebeu o item.<br>Confira sua Caixa de Presente!,Recibiste el artículo.<br>¡Echa un vistazo a tu Caja de Regalos!,Đã nhận vật phẩm.<br>Xem Hộp Quà của Bạn!,獲得物品！<br>快查看禮物箱！,Tu as reçu objet.<br>Vérifiez votre coffret cadeau !,ögesini elde ettin.<br>Hediye Kutunu kontrol et!
ZW_Bulgari_STR_UI_Msg_3,{0} 코인을 획득했습니다. ,You received {0} Coin(s).,{0}Coinを獲得したよ！,获得了{0}金币,获得了{0}金币,ได้รับ {0} เหรียญ,Anda mendapat {0} Koin.,Вы получили монеты: {0}.,Hai ricevuto {0} moneta/e.,Recebeu {0} Moeda(s).,Recibiste {0} moneda/s.,Bạn đã nhận {0} Xu.,獲得{0}金幣！,Tu as reçu {0} pièce(s).,{0} Coin elde ettin.
ZW_Bulgari_STR_UI_Msg_4,보유한 나비의 개수가 부족합니다. ,You do not have enough butterflies.,手持ちの蝶々の数が足りないよ...。,拥有的蝴蝶数量不够,拥有的蝴蝶数量不够,จำนวนผีเสื้อที่มีอยู่ไม่เพียงพอ,Kupu-kupu Anda kurang.,У вас недостаточно бабочек.,Non hai abbastanza farfalle.,Borboletas insuficientes.,No tienes mariposas suficientes.,Bạn không có đủ bướm.,目前持有的蝴蝶個數不足,Tu n'as pas suffisamment de papillons.,Yeterli kelebeğe sahip değilsin.
ZW_Bulgari_STR_UI_Msg_5,나비 날개는 최대 100개까지만 보유할 수 있습니다. 나비를 교환할까요? ,You can only retain 100 butterfly wings at max. Do you want to exchange butterflies?,蝶々の羽は最大100個までしか手持ちに入らないよ。蝶々を交換する？,最多可拥有100个蝴蝶翅膀。确定要兑换蝴蝶吗？,最多可拥有100个蝴蝶翅膀。确定要兑换蝴蝶吗？,สามารถมีปีผีเสื้อได้สูงสุดแค่ 100 ชิ้นเท่านั้น ต้องการแลกผีเสื้อหรือไม่? ,Anda hanya bisa menyimpan sampai 100 sayap kupu-kupu. Ingin menukarkan kupu-kupu?,У вас может быть не более 100 крыльев бабочек. Вы хотите обменять бабочек?,Puoi ottenere un massimo di 100 ali di farfalla. Vuoi scambiare le farfalle?,Só é possível ter 100 asas de borboleta no máximo. Quer trocar borboletas?,Solo puedes conservar 100 alas de mariposa como máximo. ¿Quieres intercambiar las mariposas?,Bạn chỉ có thể chứa tối đa 100 cánh bướm. Bạn có muốn trao đổi bướm không?,蝴蝶翅膀的持有上限為100個，要交換蝴蝶嗎？,Tu ne peux conserver que 100 ailes de papillons au maximum. Veux-tu échanger des papillons ?,En fazla 100 kelebek kanadı taşıyabilirsin. Kelebekleri takas etmek ister misin?
ZW_Bulgari_STR_UI_Msg_6,나비 잡기를 그만할까요? ,Stop catching butterflies?,蝶々を捕まえるのをやめる？,要停止抓蝴蝶吗? ,要停止抓蝴蝶吗? ,ต้องการเลิกจับผีเสื้อใช่หรือไม่?,Berhenti menangkap Kupu-kupu?,Вы хотите перестать ловить бабочек?,Vuoi smettere di catturare farfalle?,Parar de capturar borboletas?,¿Dejar de atrapar mariposas?,Dừng bắt bướm?,要停止捉蝴蝶了嗎？,Voulez-vous arrêter d'attraper des papillons ?,Kelebek yakalamayı bırakacak mısın?
ZW_Bulgari_STR_UI_Msg_7,아직 획득한 나비 날개가 없어요. 나비를 잡아 공작새에게 가보세요.,You don't have any buttefly wings yet. Catch a butterfly and visit the peacock.,まだ獲得した蝶々の羽がないよ。蝶々を捕まえて、クジャクに渡しに行こう！,还没有获得蝴蝶翅膀。去抓蝴蝶送给孔雀吧,还没有获得蝴蝶翅膀。去抓蝴蝶送给孔雀吧,ยังไม่ได้รับปีกผีเสื้อ จับผีเสื้อแล้วไปหานกยูงสิ,Anda belum punya sayap kupu-kupu. Tangkap kupu-kupu dan temui merak.,У вас нет крыльев бабочки. Поймайте бабочку и отправляйтесь к павлину.,Non hai ancora ottenuto le ali di farfalla. Cattura una farfalla e visita il pavone.,Você ainda não possui asas de borboletas. Capture uma borboleta e visite o pavão.,No tienes ninguna ala de mariposa aún. Atrapa un mariposa y ve a ver al pavo real.,Bạn vẫn chưa có cánh bướm nào. Hãy bắt bướm và đến chỗ chim công.,尚未獲得蝴蝶翅膀，抓到蝴蝶後去找孔雀吧！,Vous n'avez pas encore d'ailes de papillon. Attrapez un papillon et allez voir le paon.,Henüz kelebek kanadın yok. Bir kelebek yakala ve tavus kelebeğini ziyaret et.
ZW_Bulgari_STR_UI_Msg_8,나비 날개를 {0}개 획득했습니다. ,You received {0} butterfly wing(s).,蝶々の羽を{0}個獲得したよ！,获得了{0}个蝴蝶翅膀,获得了{0}个蝴蝶翅膀,ได้รับปีกผีเสื้อ {0} ชิ้น,Anda mendapatkan {0} sayap kupu-kupu.,Вы получили крылья бабочки: {0}.,Hai ricevuto {0} ala/i di farfalla.,Recebeu {0} asa(s) de borboleta.,Recibiste {0} ala/s de mariposa.,Bạn đã nhận {0} cánh bướm.,已獲得{0}個蝴蝶翅膀,Vous avez reçu {0} aile(s) de papillon.,{0} kelebek kanadı elde ettin.
STR_Button_Okay,확인,OK,確認,确定,确定,ตรวจสอบ,Lihat,Просмотреть,Visualizza,Ver,Ver,Xem,確認,Confirmer,Görüntüle
STR_Button_Cancel,취소,Cancel,キャンセル,取消,取消,ยกเลิก,Batal,Отмена,Annulla,Cancelar,Cancelar,Hủy,取消,Annuler,İptal Et
ZW_Bulgari_STR_UI_Style_Title,입어보기,Style check,着てみる,试穿,试穿,ลองสวม,Cobalah!,Проверка стиля,Prova Stile,Testar estilo,Prueba de estilo,Mặc thử,試穿,S’habiller,Tarza bak
ZW_Bulgari_STR_UI_Style_Button,{0}개 입어보기,Try on {0},{0}個試着,试穿{0}件,试穿{0}件,ลองสวม {0},Coba pakai {0},Примерьте {0},Prova {0},Testar {0},Pruébate {0},Mặc thử {0} bộ,試穿{0}個,Essayer {0},{0} giysisini dene.
