Key,EN,KR,JP,TH,ID
tutorial_url_3,https://cdn-asset.zepeto.me/assets/VrUsd3wK884t4chURs5YoBw,https://cdn-asset.zepeto.me/assets/2cgSP3wK884t4cjtFZNoRX3,https://cdn-asset.zepeto.me/assets/C9qLt3wK87Qt4cjeCoR53m8,https://cdn-asset.zepeto.me/assets/eytTU3wK884t4cjIaQNeP0r,https://cdn-asset.zepeto.me/assets/83dlb3wK87Qt4ciXD1xcHy5
tutorial_url_4,https://cdn-asset.zepeto.me/assets/4KAk83wK87Qt4chURwHfDLG,https://cdn-asset.zepeto.me/assets/ab9ZL3wK87Qt4cjtFZJtiUT,https://cdn-asset.zepeto.me/assets/rxevm3wK87Lt4cjeCwQ6L4I,https://cdn-asset.zepeto.me/assets/CArUR3wK87Qt4cjIaSzX1ZI,https://cdn-asset.zepeto.me/assets/BlMsd3wK87Lt4ciXD5fzfGF
tutorial_url_5,https://cdn-asset.zepeto.me/assets/y37c43wK87Qt4chURxD0hVZ,https://cdn-asset.zepeto.me/assets/ew9oa3wK87Qt4cjtFYeiddW,https://cdn-asset.zepeto.me/assets/DS4hq3wK87Lt4cjeCsvKbXF,https://cdn-asset.zepeto.me/assets/uMdw53wK87Qt4cjIaRDwMQI,https://cdn-asset.zepeto.me/assets/2kJS33wK87Lt4ciXD7dXpPc
screenshot_screenshotShootDone,Photo shoot complete! Upload now?,촬영 완료! 올리시겠습니까?,撮影完了！さっそくアップする？,ถ่ายสำเร็จ! ต้องการอัปโหลดหรือไม่?,Selesai! Unggah?
screenshot_screenshotEdit,Edit,편집,編集,แก้ไข,Mengedit
screenshotUpload,Post,게시물 등록,投稿する,อัปโหลดโพสต์,Posting
screenshot_toastFail,FAIL,FAIL,FAIL,FAIL,GAGAL
screenshot_toastSuccess,Done,완료,完了,สำเร็จ,Selesai
screenshot_toastProgress,In progress...,진행 중...,進行中…,กำลังดำเนินการ...,Sedang berlangsung
screenshot_previewUpload,Post,게시물 등록,投稿する,อัปโหลดโพสต์,Posting
screenshot_previewDescriptionTitle,Description,설명,説明,คำอธิบาย,Deskripsi
screenshot_previewFeedMessagePlaceHolder,#ZEPETOWorld #NeonParty #DJ,#ZEPETOWorld #NeonParty #DJ,#ZEPETOWorld #NeonParty #DJ,#ZEPETOWorld #NeonParty #DJ,#ZEPETOWorld #NeonParty #DJ
