key,kr,en,jp,zh-sc-gl,zh-sc-zai,th,id,ru,it,pt,es,vi,zh-hant,fr,tr
zw_quest_popup_Title_world,월드 퀘스트,World Quest,ワールドクエスト,世界任务,世界任务,เควสต์ World,Misi Dunia,Квест Мира,Missione del Mondo,Missão de Mundo,Misión de Mundo,Nhiệm Vụ World,世界任務,Quête du Monde,Dünya Görevi
zw_quest_popup_Title_daily,데일리 퀘스트,Daily Quest,デイリークエスト,每日任务,每日任务,เควสต์ประจำวัน,Misi Harian,Ежедневный квест,Missione del giorno,Missão Diária,Misión diaria,Nhiệm Vụ Hàng Ngày,每日任務,Quête quotidienne,Günlük Görev
zw_quest_popup_Title_event,이벤트 퀘스트,Event Quest,イベントクエスト,活动任务,活动任务,เควสต์กิจกรรม,Misi Event,Квест на событие,Missione evento,Missão de Evento,Misión de evento,Nhiệm Vụ Sự Kiện,活動任務,Quête d'évènements,Etkinlik Görevi
zw_quest_reward_button,확인,View,確認,确认,确认,ตรวจสอบ,Lihat,Просмотреть,Visualizza,Ver,Ver,Xem,確認,Confirmer,Görüntüle
zw_quest_reward_item_check,지금 착용하기,Equip Now,今すぐ着替える,现在穿戴,现在穿戴,สวมใส่ตอนนี้,Pakai Sekarang,Экипируйте сейчас,Applica ora elementi,Equipar agora,Equipar ahora,Trang Bị Ngay,立刻配戴,Essayer maintenant,Şimdi Kuşan
zw_quest_reward_worlditem_check,지금 사용하기,Use Now,今すぐ使う,现在使用,现在使用,ใช้ตอนนี้,Gunakan Sekarang,Используйте сейчас,Usa ora,Usar agora,Usar ahora,Dùng Ngay,立刻使用,Utiliser maintenant,Şimdi Kullan
zw_quest_alert_reward_check,퀘스트 클리어 보상을 받았어요! <br>선물함에서 획득한 아이템을 확인해 보세요.,You've received a quest clear reward! <br>Check out the item in the gift box.,クエストクリアボーナスをゲット！<br>プレゼントBOXで確認できるよ！,收到了任务完成奖励！<br>请在礼物盒确认获得的商品,收到了任务完成奖励！<br>请在礼物盒确认获得的商品,คุณได้รับรางวัลเคลียร์เควสท์! <br>ตรวจสอบไอเทมในกล่องของขวัญ,Hadiah penyelesaian misi didapat! <br>Cek itemnya di kotak hadiah.,Вы получили награду за выполнение квеста!<br>Ваш предмет — в Подарочной коробке.,Hai ricevuto una ricompensa per aver completato la missione!<br>Scopri cos'hai vinto nella scatola regalo.,Recebeu uma recompensa de conclusão de missão! <br>Confira o item na caixa de presentes.,¡Recibiste una recompensa por completar la misión!<br>La encontrarás en la caja de regalo.,Bạn đã nhận được thưởng hoàn thành nhiệm vụ! <br>Kiểm tra vật phẩm trong hộp quà.,收到了任務完成獎勵！<br>請在禮物盒確認獲得的物品,Vous avez reçu une récompense pour terminer une quête ! <br>Vérifiez les articles dans le coffret cadeau.,Görev tamamlama ödülü aldın! <br>Hediye kutusundan ögeyi kontrol et.
zw_quest_linked_button,연결 퀘스트 보기,View linked quests,クエストをチェック,查看连接任务,查看连接任务,ดูเควสท์ทั้งหมด,Lihat misi,Посмотреть все квесты,Visualizza tutte le missioni,Ver todas as missões,Ver todas las misiones,Xem tất cả nhiệm vụ,查看鏈結任務,Voir les quêtes liées,Tüm görevlere bak
zw_quest_msg_complete,퀘스트 완료,Quest Clear,クエストクリア,已完成任务,已完成任务,เควสต์เคลียร์,Misi Selesai,Квест завершен,Missione completata,Missão Concluída,Misión completada,Nhiệm Vụ Hoàn Thành,任務完成,Quête accomplie,Görevi Tamamla
STR_Button_Okay,확인,OK,確認,确定,确定,ตรวจสอบ,Lihat,Просмотреть,Visualizza,Ver,Ver,Xem,確認,Confirmer,Görüntüle
STR_Button_Cancel,취소,Cancel,キャンセル,取消,取消,ยกเลิก,Batal,Отмена,Annulla,Cancelar,Cancelar,Hủy,取消,Annuler,İptal Et
STR_UI_Gesture_Title,제스처,Gesture,ジェスチャー,动作,动作,ท่าทาง,Gerakan,Жест,Gesto,Gesto,Gesto,Cử Chỉ,手勢,Geste,Hareket
ZW_CRCollab_STR_LoadingPage,화면을 탭해 스킵하세요,Tap the screen to skip,画面をタップしてスキップしてください,点击屏幕跳过,点击屏幕跳过,แตะหน้าจอเพื่อข้าม,Ketuk layar untuk melewati,"Коснитесь экрана, чтобы пропустить",Tocca lo schermo per saltare,Toque na tela para ignorar,Toca la pantalla para omitir,Chạm màn hình để bỏ qua,點擊畫面即可略過,Appuyez sur l'écran pour passer,Geçmek için ekrana dokun
STR_Screen_Msg,제페토 월드와의 통신이 끊어졌어요.<br>다시 접속할까요?,You've lost your connection to ZEPETO World.<br>Try again?,ZEPETO Worldとの通信が<br>切れてしまいました。<br>もう一度接続しますか？,You've lost your connection to ZEPETO World.<br>Try again?,You've lost your connection to ZEPETO World.<br>Try again?,การเชื่อมต่อกับ ZEPETO WORLD ถูกตัดขาด<br>ต้องการเชื่อมต่ออีกครั้งหรือไม่?,Kamu kehilangan koneksi Dunia ZEPETO.<br>Apakah kamu ingin mencoba untuk terhubung lagi?,Связь с Миром ZEPETO прервана.<br>Повторить подключение?,Hai perso la connessione al Mondo ZEPETO.<br>Vuoi riprovare?,Conexão perdida com o Mundo ZEPETO.<br>Tentar novamente?,Perdiste la conexión con el Mundo ZEPETO.<br>¿Intentar de nuevo?,Bạn đã mất kết nối với ZEPETO World.<br>Thử lại?,ZEPETO世界已斷線，<br>要重新連線嗎？,Vous avez perdu la connexion au Monde ZEPETO.<br>Voulez-vous vous reconnecter ?,ZEPETO Dünyası ile bağlantın koptu.<br>Tekrar denensin mi?
zw_sr_str_result_restarting,곧 게임이 재시작 됩니다.,The game is restarting soon.,もうすぐゲームが再開されます。,比赛即将重新开始,比赛即将重新开始,เกมกำลังจะเริ่มต้นอีกครั้ง,Permainan akan dimulai lagi.,Игра скоро перезапустится.,Il gioco riprenderà presto.,O jogo será reiniciado em breve.,El juego se reiniciará pronto.,Trò chơi sẽ sớm khởi động lại.,遊戲即將重新開始,Le jeu redémarre bientôt.,Oyun yakında yeniden başlıyor.
zw_sr_str_alert_popup_title,잠깐,Wait,ちょっと待って！,等一下,等一下,สักครู่,Sebentar,Пауза,Pausa,Pausa,Pausa,Đợi xíu,等等！,Pause,Duraklat
zw_sr_str_ranking_tooltip_title,랭킹 보상,Rank Rewards,ランキング報酬,排名奖励,排名奖励,รางวัลอันดับ,Hadiah Peringkat,Награда за место в рейтинге,Premio classifica,Prêmio de classificação,Premio de clasificación,Thưởng Hạng,排名獎勵,Prix de classement,Sıralama Ödülü
zw_sr_str_reward_popup_subtitle,축하해요! 보상을 받았어요.,Congratulations!<br>You've received a reward.,おめでとう！<br>報酬が届いたよ！,恭喜你收到了奖励！,恭喜你收到了奖励！,ยินดีด้วย!<br>ได้รับรางวัลแล้ว,Selamat!<br>Anda telah mendapatkan hadiah.,Поздравляем!<br>Вы получили награду.,Congratulazioni!<br>Hai ricevuto un premio.,Parabéns!<br>Você recebeu um prêmio.,¡Felicitaciones!<br>Recibiste un premio.,Xin chúc mừng!<br>Bạn đã nhận được thưởng.,恭喜你！已獲得獎勵！,Félicitations !<br>Vous avez reçu un prix.,Tebrikler!<br>Bir ödül aldın.
MLB_Ranking_MyRank,내 랭킹,My Ranking,マイランキング,我的排名,我的排名,อันดับของฉัน,Peringkat saya,Мой рейтинг,La mia posizione,Minha Classificação,Mi posición,Xếp hạng của tôi,我的排名,Mon classement,Sıralamam
MLB_Ranking_Sum,누적점수,Total Score,トータル点数,累积分数,累积分数,คะแนนสะสม,Total Skor,Общий счет,Punteggio Totale,Pontuação Total,Puntaje total,Điểm tích lũy,累积分数,Score total,Toplam Puan
ZW_CRCollab_STR_Alert_Catalog,아직 선택된 아이템이 없어요!,You haven't selected an item!,まだ選択されたアイテムがないよ！,还没有选择的商品！,还没有选择的商品！,ยังไม่ได้เลือกไอเทม!,Anda belum memilih item!,Вы не выбрали предмет!,Ancora nessun articolo selezionato.,Nenhum item selecionado!,¡No seleccionaste un artículo!,Bạn chưa chọn vật phẩm!,尚未選擇物品！,Vous n'avez pas sélectionné d'article !,Bir öge seçmedin!
STR_UI_Gesture_Keyword1,모두표시,All,もっと見る,全部显示,全部显示,แสดงทั้งหมด,Lihat semua,Посмотреть Все,Visualizza tutti,Ver Tudo,Ver todo,Xem Tất Cả,全部顯示,Tout afficher,Tümünü gör
STR_UI_Gesture_Keyword2,인사,Greet,挨拶,打招呼,打招呼,ทักทาย,Salam,Greeting,Saluti,Saudação,Saludo,Lời Chào,打招呼,Salutation,Selamlama
STR_UI_Gesture_Keyword3,댄스,Dance,ダンス,舞蹈,舞蹈,เต้น,Menari,Dance,Ballo,Dança,Baile,Khiêu Vũ,舞蹈,Danse,Dans
STR_UI_Gesture_Keyword4,긍정,Positive,ポジティブ,积极,积极,เห็นด้วย,Positif,Positive,Positivo,Positivo,Positivo,Tích Cực,積極,Positif,Pozitif
STR_UI_Gesture_Keyword5,부정,Negative,ネガティブ,消极,消极,ปฏิเสธ,Negatif,Negative,Negativo,Negativo,Negativo,Tiêu Cực,消極,Négatif,Negatif
STR_UI_Gesture_Keyword6,포즈,Pose,ポーズ,凹造型,凹造型,โพส,Pose,Pose,Posa,Pose,Pose,Tạo Dáng,姿勢,Pose,Poz
zw_new_quickchat_preset_001,안녕!,Hi!,こんにちは！,你好！,你好！,สวัสดี!,Halo!,"Эй, привет",Ciao!,Oi !,¡Hola!,Xin chào,你好！,Salut !,Selam!
zw_new_quickchat_preset_002,반가워~,Nice to meet you,会えてうれしい～,很高兴认识你~,很高兴认识你~,ยินดีที่ได้รู้จัก,Salam kenal,Приятно познакомиться!,Piacere di conoscerti!,Prazer em conhecê-lo,Un placer conocerte,Rất vui được gặp bạn,見到你很高興~,Enchanté,Tanıştığımıza memnun oldum
zw_new_quickchat_preset_003,예쁘다!,So pretty,可愛い,好漂亮,好漂亮,สวย,Cantik!,Выглядит красиво!,Ma che carino!,Que bonito(a),Que lindo(a),Đẹp quá! Quá đẹp!,好漂亮,Magnifique,Çok hoş
zw_new_quickchat_preset_004,스타일 멋있다,Love your style!,コーデ可愛い～,穿搭好好看,穿搭好好看,สไตล์ปังมาก,Gayanya keren!,Крутой стиль!,Adoro il tuo stile!,Adorei seu estilo!,¡Me encanta tu estilo!,Đồ đẹp quá nha!,你今天穿的很好看,J'adore ton sytle,Kıyafetine bayıldım!
zw_new_quickchat_preset_005,사진 찍자!,Let’s take a pic,一緒に写真撮ろうよ！,一起拍照吧,一起拍照吧,มาถ่ายรูปกัน,Ayo foto bareng!,Давайте сфотографируемся!,Facciamo una foto!,Vamos tirar uma foto juntos,Tomémonos una foto ,Chụp với mình một tấm đi,跟我一起拍照吧,On prend une photo ensemble ?,Hadi fotoğraf çekelim
zw_new_quickchat_preset_006,같이 놀자,Let’s play,一緒に遊ぼう！,一起玩吧,一起玩吧,มาเล่นด้วยกัน,Ayo main!,Пора играть!,Giochiamo!,Vamos jogar,Vamos a jugar,Mình chơi chung đi!,一起玩吧,Viens on joue,Hadi oynayalım
zw_new_quickchat_preset_007,ㅋㅋㅋㅋㅋㅋ,LOL,(笑),哈哈哈,哈哈哈,555,wkwkwk,Ха-ха,LOL,kkk,¡Jaja!,Haha,哈哈哈哈,mdr,LOL
zw_new_quickchat_preset_008,ㅜㅜㅜ,;(,泣,T_T,T_T,TTTT,:(,:(,;(,;(,;(,;(,(T＿T),;(,;(
zw_new_quickchat_preset_009,고마워,Thanks,ありがとう！,谢谢~,谢谢~,ขอบคุณ,Makasih,Спасибо,Grazie,Obrigado(a)~,Gracias,Cảm ơn,謝謝～,Merci,Teşekkürler
zw_new_quickchat_preset_010,와우!,Wow!,わー！,哇呜！,哇呜！,ว้าว!,Wow!,Ого!,Wow!,Eita!,¡Guau!,Quào,哇！ ,Waouh !,Harika!
zw_new_quickchat_preset_011,좋아!,Nice!,いいね！,好！,好！,ดี!,Oke!,Хорошо,Bello!,Eu topo!,¡Genial!,Tuyệt vời ông mặt trời,好哇！,Lourd !,İyi!
zw_new_quickchat_preset_012,ㅇㅇ,Yes,うん,嗯嗯,嗯嗯,อืม,Iya,Да,Sì,Sim,Sí,Ừa,嗯,Oui,Evet
zw_new_quickchat_preset_013,ㄱㄱㄱ,Let’s go,レッツゴー！,出发,出发,ไปกัน,Ayo!,Ну же!,Andiamo!,Vamos,Vamos,Gét gô!,走吧,Allons-y,Hadi gidelim
zw_new_quickchat_preset_014,ㄴㄴ,No,ノー,不不,不不,ไม่,Tidak,Нет,No,Não,No,Hong,不是,Non,Hayır
zw_new_quickchat_preset_015,어느 나라에서 왔어?,Where are you from?,どの国から来たの〜？,你是哪里人？,你是哪里人？,มาจากประเทศไหน?,Kamu orang mana?,Откуда ты?,Da dove vieni?,De onde você é?,¿De dónde eres?,Bạn đến từ đâu vậy?,你是哪國人？,Tu viens d'où?,Nerelisin?
